学校ID,学校名称,年份,录取批次,招生类型,专业组,选科要求,最低分,最低位次,专业名称,专业最低分,专业最低位次,数据来源URL
92,天津体育学院天津河西区,,,,,首选物理，再选不限,,,应用心理学,498,86386,https://www.gaokao.cn/school/92/provinceline?fromcoop=bdkp
92,天津体育学院天津河西区,,,,,首选物理，再选不限,,,新闻学,495,89867,https://www.gaokao.cn/school/92/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,2025,本科批,普通类,专业组（502）,首选物理，再选化学,504,78787,,,,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,2025,本科批,普通类,专业组（501）,首选物理，再选化学,487,100090,,,,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,2025,本科批,普通类,专业组（503）,首选物理，再选生物,467,127284,,,,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,,,,,首选物理，再选化学,,,农业机械化及其自动化,529,52425,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,,,,,首选物理，再选化学,,,动物医学,520,61527,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,,,,,首选物理，再选化学,,,软件工程,518,63570,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,,,,,首选物理，再选化学,,,动物医学（小动医方向）,515,67026,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
93,天津农学院天津西青区,,,,,首选物理，再选化学,,,水利水电工程,510,72197,https://www.gaokao.cn/school/93/provinceline?fromcoop=bdkp
95,天津美术学院天津河北区,2025,本科批,普通类,专业组（101）,首选历史，再选不限,539,16861,,,,https://www.gaokao.cn/school/95/provinceline?fromcoop=bdkp
95,天津美术学院天津河北区,,,,,首选历史，再选不限,,,美术学,541,16050,https://www.gaokao.cn/school/95/provinceline?fromcoop=bdkp
95,天津美术学院天津河北区,,,,,首选历史，再选不限,,,艺术管理,539,16861,https://www.gaokao.cn/school/95/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,2025,本科批,普通类,专业组（501）,首选物理，再选化学,557,30214,,,,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,2025,高校专项计划批,高校专项计划,专业组（502）,首选物理，再选化学,578,17994,,,,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,,,,,首选物理，再选化学,,,电气工程及其自动化,592,11893,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,,,,,首选物理，再选化学,,,计算机科学与技术,589,13073,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,,,,,首选物理，再选化学,,,电子科学与技术,585,14815,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,,,,,首选物理，再选化学,,,人工智能,582,16139,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
96,广西大学广西南宁市,,,,,首选物理，再选化学,,,材料科学与工程,573,20570,https://www.gaokao.cn/school/96/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,599,9176,,,,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,584,14956,,,,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,584,15158,,,,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,2025,本科批,国家专项,专业组（563）,首选物理，再选化学,587,13837,,,,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,2025,本科批,国家专项,专业组（562）,首选物理，再选化学,586,14057,,,,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,,,,,首选物理，再选化学,,,微电子科学与工程（集成电路设计与应用创新班）,614,5034,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,,,,,首选物理，再选化学,,,计算机类（含基地班）（计算机科学与技术、数据科学与大数据技术）,613,5392,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,,,,,首选物理，再选化学,,,电子信息类（含基地班）（电子信息科学与技术、通信工程、人工智能）,612,5677,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,,,,,首选物理，再选化学,,,核工程与核技术,611,5731,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
97,兰州大学甘肃兰州市,,,,,首选物理，再选化学,,,信息与计算科学（先进计算创新班）,611,5846,https://www.gaokao.cn/school/97/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,601,8682,,,,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,585,14815,,,,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,584,15220,,,,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,,,,,首选物理，再选化学,,,物理学（基地班）,601,8682,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,,,,,首选物理，再选化学,,,物理学（师范类）,591,12269,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,,,,,首选物理，再选化学,,,光电信息科学与工程,588,13506,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,,,,,首选物理，再选化学,,,应用统计学,587,13924,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
98,华南师范大学广东广州市,,,,,首选物理，再选不限,,,应用心理学,585,14815,https://www.gaokao.cn/school/98/provinceline?fromcoop=bdkp
99,四川大学四川成都市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,649,630,,,,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,2025,本科批,普通类,专业组（504）,首选物理，再选化学,643,986,,,,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,627,2637,,,,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,2025,本科批,普通类,专业组（501）,首选物理，再选化学,611,5695,,,,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,2025,本科批,普通类,专业组（505）,首选物理，再选化学,584,15164,,,,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,,,,,首选物理，再选化学,,,临床医学（八年医）,649,630,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,,,,,首选物理，再选化学,,,口腔医学（5+3一体化）,643,986,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,,,,,首选物理，再选化学,,,口腔医学,633,1862,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,,,,,首选物理，再选化学,,,临床医学,627,2637,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
99,四川大学四川成都市,,,,,首选物理，再选化学,,,电子信息类（电子信息工程、光电信息科学与工程、通信工程）,624,3043,https://www.gaokao.cn/school/99/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,565,25027,,,,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,565,24960,,,,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,,,,,首选物理，再选化学,,,电气工程及其自动化（办学地点：四川农业大学雅安校区）,587,13809,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,,,,,首选物理，再选化学,,,计算机科学与技术（办学地点：四川农业大学雅安校区）,585,14655,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,,,,,首选物理，再选化学,,,数据科学与大数据技术（办学地点：四川农业大学雅安校区）,582,15906,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,,,,,首选物理，再选化学,,,能源与动力工程（办学地点：四川农业大学雅安校区）,581,16388,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
100,四川农业大学四川成都市,,,,,首选物理，再选化学,,,动物医学,580,16792,https://www.gaokao.cn/school/100/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,598,9483,,,,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,589,12891,,,,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,2025,本科批,国家专项,专业组（562）,首选物理，再选化学,602,8330,,,,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,2025,本科批,国家专项,专业组（561）,首选物理，再选不限,574,19889,,,,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,,,,,首选物理，再选不限,,,会计学（注册会计师专门化方向）,607,6740,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,,,,,首选物理，再选化学,,,计算机科学与技术（基础学科拔尖实验班）（学生人驻刘诗白书院，实行大类培养自由分流，大一第二学期根据意愿在数字经济、计算机科学与技术和数学与应用数学3个基础学科拔尖实验班专业中自由选择专业学习）,606,7158,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,,,,,首选物理，再选化学,,,数学与应用数学（基础学科拔尖实验班）（学生人驻刘诗白书院，实行大类培养自由分流，大一第二学期根据意愿在数字经济、计算机科学与技术和数学与应用数学3个基础学科拔尖实验班专业中自由选择专业学习）,603,8009,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,,,,,首选物理，再选化学,,,计算机类（国家专项）（人工智能、计算机科学与技术、网络空间安全、数据科学与大数据技术）,602,8330,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
101,西南财经大学四川成都市,,,,,首选物理，再选不限,,,财政学类（国家专项）（财政学、税收学）,601,8570,https://www.gaokao.cn/school/101/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,624,3185,,,,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,617,4348,,,,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,616,4726,,,,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,2025,本科批,国家专项,专业组（561）,首选物理，再选化学,609,6313,,,,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,2025,高校专项计划批,高校专项计划,专业组（505）,首选物理，再选化学,606,7158,,,,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,,,,,首选物理，再选化学,,,计算机类（计算机科学与技术、网络空间安全、人工智能、软件工程）（软件工程专业三、四年级按学分收费，400元/学分，两年不超过80学分）,626,2795,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,,,,,首选物理，再选化学,,,电子信息类（电子信息工程、集成电路设计与集成系统、微电子科学与工程、电子信息科学与技术、通信工程）（集成电路设计与集成系统专业三、四年级按学分收费，400元/学分，两年不超过80学分）,626,2877,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,,,,,首选物理，再选化学,,,工科试验班（化工与材料类）（化学工程与工艺、材料科学与工程）,624,3185,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,,,,,首选物理，再选化学,,,能源动力类（新能源科学与工程、储能科学与工程）,624,3151,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
102,厦门大学福建厦门市,,,,,首选物理，再选化学,,,"工科试验班（航空航天,含双学士学位项目）（机械设计制造及其自动化、测控技术与仪器、自动化、飞行器设计与工程、飞行器动力工程）（含飞行器设计与工程+海洋技术双学士学位项目。专业分流后到飞行器动力工程、飞行器设计与工程专业学费6760元/学年）",624,3148,https://www.gaokao.cn/school/102/provinceline?fromcoop=bdkp
103,福州大学福建福州市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,596,10338,,,,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,2025,本科批,闽台合作,专业组（504）,首选物理，再选化学,590,12301,,,,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,2025,本科批,国家专项,专业组（561）,首选物理，再选化学,580,16718,,,,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,2025,本科批,地矿组,专业组（503）,首选物理，再选化学,572,20939,,,,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,2025,本科批,闽台合作,专业组（501）,首选物理，再选不限,569,22348,,,,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,,,,,首选物理，再选化学,,,电气工程及其自动化（第一学年在福州市铜盘校区培养，专业体检要求详见招生章程）,602,8285,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,,,,,首选物理，再选化学,,,机械设计制造及其自动化（第一学年在福州市铜盘校区培养，专业体检要求详见招生章程）,599,9249,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,,,,,首选物理，再选化学,,,数据科学与大数据技术（第一学年在福州市铜盘校区培养，专业体检要求详见招生章程）,598,9433,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,,,,,首选物理，再选化学,,,微电子科学与工程（第一学年在福州市铜盘校区培养，专业体检要求详见招生章程）,598,9576,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
103,福州大学福建福州市,,,,,首选物理，再选化学,,,集成电路设计与集成系统（国家专项）（第一学年在福州市铜盘校区培养，专业体检要求详见招生章程）,597,9836,https://www.gaokao.cn/school/103/provinceline?fromcoop=bdkp
104,中山大学广东广州市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,628,2551,,,,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,626,2755,,,,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,620,3802,,,,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,2025,本科批,国家专项,专业组（561）,首选物理，再选化学,609,6251,,,,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,,,,,首选物理，再选化学,,,临床医学（八年医）（不招色盲色弱）,640,1259,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,,,,,首选物理，再选化学,,,计算机类（计算机科学与技术、信息与计算科学）,636,1649,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,,,,,首选物理，再选化学,,,微电子科学与工程（办学地点：深圳校区）,633,1952,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,,,,,首选物理，再选化学,,,软件工程（办学地点：珠海校区）,631,2096,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
104,中山大学广东广州市,,,,,首选物理，再选化学,,,机械工程（办学地点：深圳校区）,630,2290,https://www.gaokao.cn/school/104/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,2025,本科批,普通类,专业组（502）,首选物理，再选化学,633,1902,,,,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,620,3789,,,,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,617,4392,,,,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,2025,本科批,普通类,专业组（504）,首选物理，再选化学,612,5552,,,,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,2025,本科批,普通类,专业组（505）,首选物理，再选化学,609,6306,,,,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,,,,,首选物理，再选化学,,,工科试验班（AI先进技术拔尖班）（计算机科学与技术（拔尖基地班）、信息工程（拔尖班）、自动化（拔尖班））,635,1741,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,,,,,首选物理，再选化学,,,工科试验班（卓越人才班）（电气工程及其自动化（卓越班）、能源与动力工程（低碳与智慧能源卓越班）、软件工程（卓越班）、软件工程（GY软件卓越班）、电子科学与技术（卓越班）、食品科学与工程（未来食品卓越班））,633,1964,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,,,,,首选物理，再选化学,,,计算机类（计算机科学与技术、网络工程、信息安全）,628,2578,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,,,,,首选物理，再选化学,,,电气类（电气工程及其自动化、能源与动力工程）,628,2578,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
105,华南理工大学广东广州市,,,,,首选物理，再选化学,,,工科试验班（AI与低空技术）（智能科学与技术、低空技术与工程）,628,2578,https://www.gaokao.cn/school/105/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,2025,本科批,普通类,专业组（505）,首选物理，再选化学,609,6184,,,,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,2025,本科批,普通类,专业组（504）,首选物理，再选化学,595,10426,,,,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,2025,本科批,普通类,专业组（503）,首选物理，再选化学,595,10583,,,,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,595,10605,,,,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,2025,本科批,国家专项,专业组（562）,首选物理，再选化学,597,9710,,,,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,,,,,首选物理，再选化学,,,口腔医学（不招收色盲色弱考生）,610,6091,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,,,,,首选物理，再选化学,,,临床医学（校本部班）（不招收色盲色弱考生）,609,6184,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,,,,,首选物理，再选化学,,,人工智能（国家专项）（办学地点：珠海校区）,606,7067,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,,,,,首选物理，再选化学,,,人工智能（办学地点：珠海校区）,601,8385,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
106,暨南大学广东广州市,,,,,首选物理，再选不限,,,信息管理与信息系统,599,9091,https://www.gaokao.cn/school/106/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,2025,本科批,普通类,专业组（501）,首选物理，再选化学,633,1934,,,,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,2025,本科批,中外合作办学,专业组（503）,首选物理，再选化学,611,5824,,,,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,2025,本科批,国家专项,专业组（561）,首选物理，再选化学,609,6223,,,,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,2025,本科批,中外合作办学,专业组（502）,首选物理，再选化学,607,6760,,,,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,,,,,首选物理，再选化学,,,航空航天类（智慧三航拔尖班）（飞行器设计与工程、计算机科学与技术）,637,1537,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,,,,,首选物理，再选化学,,,航空航天类（黄玉珊航空班）（飞行器设计与工程）,637,1483,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,,,,,首选物理，再选化学,,,自动化类（自动化、电气工程及其自动化、机器人工程）（专业分流时，100类内专业任选）,636,1599,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,,,,,首选物理，再选化学,,,航空航天类（航天）（飞行器设计与工程、飞行器动力工程、飞行器控制与信息工程、航空航天工程）（专业分流时，100类内专业任选）,634,1754,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
107,西北工业大学陕西西安市,,,,,首选物理，再选化学,,,航空航天类（航空）（飞行器设计与工程、飞行器控制与信息工程、航空航天工程）（专业分流时，100类内专业任选）,633,1930,https://www.gaokao.cn/school/107/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,2025,本科批,普通类,专业组（504）,首选物理，再选化学,596,10298,,,,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,2025,本科批,普通类,专业组（50A）,首选物理，再选化学、生物(2科必选),596,10217,,,,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,2025,本科批,普通类,专业组（501）,首选物理，再选不限,586,14066,,,,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,2025,本科批,普通类,专业组（507）,首选物理，再选化学,581,16491,,,,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,2025,本科批,普通类,专业组（503）,首选物理，再选不限,578,17884,,,,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,,,,,首选物理，再选化学,,,电气工程及其自动化,600,8773,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,,,,,首选物理，再选化学,,,计算机科学与技术（不招单色不能识别的考生）,599,9195,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,,,,,首选物理，再选化学,,,电气工程及其自动化（苏区专项）,598,9454,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,,,,,首选物理，再选化学,,,人工智能,598,9504,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
108,南昌大学江西南昌市,,,,,首选物理，再选化学,,,数据科学与大数据技术,597,9979,https://www.gaokao.cn/school/108/provinceline?fromcoop=bdkp
